Pickup_Latitude,Pickup_Longitude,Dropoff_Lattitude,Dropoff_Longitude,Counts
40.756,-73.973,40.749,-73.992,981
40.735,-74.006,40.75,-73.995,980
40.756,-73.975,40.762,-73.971,980
40.765,-73.966,40.766,-73.955,980
40.779,-73.962,40.75,-73.991,978
40.645,-73.782,40.768,-73.862,977
40.763,-73.979,40.75,-73.991,977
40.752,-73.978,40.762,-73.979,974
40.759,-73.968,40.769,-73.961,972
40.756,-73.987,40.751,-73.991,971
40.762,-73.979,40.768,-73.862,971
40.768,-73.964,40.766,-73.955,970
40.75,-73.992,40.759,-73.986,967
40.75,-73.991,40.753,-73.978,966
40.752,-73.978,40.758,-74.001,962
40.764,-73.973,40.754,-73.978,961
40.763,-73.968,40.753,-73.975,960
40.78,-73.956,40.788,-73.976,960
40.762,-73.966,40.767,-73.954,959
40.645,-73.782,40.759,-73.989,958
40.75,-73.991,40.756,-74.002,956
40.774,-73.871,40.755,-73.973,956
40.645,-73.782,40.645,-73.781,955
40.759,-73.986,40.774,-73.873,953
40.765,-73.982,40.75,-73.991,953
40.757,-73.99,40.766,-73.983,952
40.768,-73.962,40.779,-73.954,947
40.762,-73.966,40.776,-73.956,946
40.774,-73.96,40.763,-73.968,945
40.787,-73.978,40.775,-73.982,943
40.758,-73.986,40.75,-73.992,942
40.746,-73.98,40.749,-73.992,938
40.756,-73.975,40.761,-73.971,938
40.771,-73.987,40.805,-73.962,937
40.764,-73.971,40.775,-73.963,936
40.751,-73.994,40.753,-73.978,934
40.75,-73.992,40.753,-73.978,932
40.76,-73.97,40.752,-73.975,930
40.763,-73.974,40.755,-73.98,929
40.757,-73.99,40.756,-73.975,928
40.742,-73.985,40.751,-73.979,927
40.746,-73.978,40.752,-73.977,927
40.751,-73.994,40.77,-73.991,926
40.756,-73.975,40.762,-73.97,925
40.758,-74.001,40.75,-73.995,925
40.75,-73.992,40.756,-73.991,924
40.76,-73.986,40.75,-73.991,924
40.757,-73.99,40.761,-73.983,923
40.759,-73.989,40.758,-74.001,923
40.756,-73.977,40.763,-73.978,922
40.768,-73.982,40.75,-73.991,922
40.738,-73.984,40.749,-73.992,920
40.74,-74.006,40.744,-74.007,919
40.744,-73.986,40.749,-73.992,918
40.792,-73.965,40.788,-73.956,918
40.75,-73.991,40.76,-73.981,917
40.751,-73.994,40.756,-73.983,917
40.774,-73.873,40.647,-73.79,916
40.76,-73.986,40.774,-73.871,915
40.737,-73.997,40.749,-73.992,913
40.763,-73.978,40.75,-73.991,909
40.779,-73.962,40.763,-73.974,909
40.741,-73.982,40.749,-73.992,907
40.752,-73.975,40.741,-73.985,907
40.762,-73.966,40.764,-73.954,907
40.776,-73.947,40.78,-73.956,907
40.752,-73.978,40.752,-73.99,906
40.755,-73.98,40.75,-73.991,905
40.759,-73.984,40.75,-73.991,903
40.764,-73.981,40.751,-73.991,903
